,section,byline,title,abstract,class,print_page,pub_date,type_of_material
2469,Sports,By Alan Blinder,Lia Thomas Wins an N.C.A.A. Swimming Title,"With her victory in Atlanta, Thomas, who competes for the University of Pennsylvania, became the first openly transgender woman to win an N.C.A.A. swimming championship.",all,11,2022-03-17T22:20:08+0000,News
2470,Food,By Pete Wells,"One Pizza at a Time, He Defined the New York Slice","Domenico DeMarco, who founded Di Fara Pizza in 1965, has died. He was a link between the cooking of Southern Italy and the city’s corner-slice culture.",all,20,2022-03-17T22:30:14+0000,News
2471,World,By Emma Bubola,Italy is planning to roll back many of its vaccine requirements.,"Italy, where coronavirus cases are again on the rise, is preparing to roll back many of its vaccine requirements, Roberto Speranza, its health minister, announced on Thursday.",all,,2022-03-17T22:47:43+0000,News
2472,U.S.,By Michael D. Shear,"With a Flurry of High-Profile Coronavirus Cases, Washington Is Again on Edge","The cases have raised questions about the trajectory of the pandemic, even as the White House has signaled confidence about resuming normal activities.",all,16,2022-03-17T22:52:25+0000,News
2473,World,By Anton Troianovski,Why Vladimir Putin Invokes Nazis to Justify His Invasion of Ukraine,The language of Russia’s invasion has been dominated by the word “Nazi” — a puzzling assertion about a country whose leader is Jewish.,all,1,2022-03-17T22:53:43+0000,News
2474,Opinion,By Paul Krugman,Another Dictator Is Having a Bad Year,Covid is becoming China’s equivalent of Ukraine.,all,23,2022-03-17T23:00:06+0000,Op-Ed
2475,Opinion,By Kara Swisher,Yuri Milner’s Russian Clapback,A Russian-born tech titan takes a bold stance against his birth country’s pummeling of Ukraine.,all,,2022-03-17T23:00:07+0000,Op-Ed
2476,Opinion,By David Brooks,This Is Why Autocracies Fail,"Over the long term, centralized power is a recipe for stagnation.",all,22,2022-03-17T23:00:09+0000,Op-Ed
2477,U.S.,By Blake Hounshell and Leah Askarinam,Climate Activists Flex Their Political Muscle,Environmental groups want Democrats to confront oil companies over high gas prices. And Democrats are listening.,all,,2022-03-17T23:03:06+0000,News
2478,U.S.,By Edward Wong,"U.S. Will Punish China if It Gives Military Aid to Russia, Blinken Says","President Biden plans to talk on Friday with Xi Jinping, who has a close partnership with Vladimir V. Putin and supports him in the Ukraine war.",all,11,2022-03-17T23:07:27+0000,News
2479,U.S.,By Maria Cramer,Video Appears to Show Death of California Man Held Down by Police,"“I can’t breathe,” Edward Bronstein yelled as highway patrol officers pinned him down after a traffic stop in Burbank in March 2020, a video released this week shows.",all,,2022-03-17T23:14:21+0000,News
2480,Business Day,By Lananh Nguyen,Sanctions against Russia may cost BNY Mellon $200 million this year.,"BNY Mellon has ceased new business in Russia and has “suspended investment management purchases of Russian securities,” it said.",all,,2022-03-17T23:39:06+0000,News
2481,U.S.,By David E. Sanger,"By Labeling Putin a ‘War Criminal,’ Biden Personalizes the Conflict",President Biden’s visceral reaction to the horrifying images coming out of Ukraine also reflects a broader effort to isolate the Russian leader.,all,1,2022-03-17T23:46:10+0000,News
2482,U.S.,By Michael Crowley,"U.S. Calls Putin a ‘War Criminal,’ but Consequences Are Unclear","A day after President Biden’s remark, Secretary of State Antony Blinken said he agreed. Experts warned of hurdles to a successful prosecution.",all,13,2022-03-17T23:51:56+0000,News
2483,Well,By Tara Parker-Pope,"Interrupted, Again: Suleika Jaouad on Cancer and Healing the Second Time Around","The popular writer of the “Life, Interrupted” column shares an update on her health and discusses how creativity and connection help her cope with life’s challenges.",all,7,2022-03-18T00:01:07+0000,News
2484,Books,By Alexandra Alter,National Book Critics Circle Names 2021 Award Winners,"Honorée Fanonne Jeffers, Clint Smith, Rebecca Donner and Anthony Veasna So were among the winners.",all,6,2022-03-18T00:30:06+0000,News
2485,U.S.,By Michael Levenson,"Hoping to Identify Cheaters, a Professor Sues His Own Students","David Berkovitz, who teaches business law at Chapman University in Orange, Calif., sued an unnamed group of his students — identified only as “Does” — after he discovered that his midterm and final exams had been uploaded to a popular website.",all,16,2022-03-18T00:30:53+0000,News
2486,U.S.,By Sharon LaFraniere,Moderna asks the F.D.A. for authorization for a second booster for all adults.,"The request is significantly broader than one from Pfizer, which sought another shot only for adults age 65 and older.",all,18,2022-03-18T00:44:39+0000,News
2487,U.S.,By Christine Chung,Six Killed in Chain-Reaction Crash on Missouri Interstate,"The collisions resulted in a pileup of more than a hundred vehicles and closed the highway in both directions, the authorities said.",all,,2022-03-18T01:46:44+0000,News
2488,Crosswords & Games,By Deb Amlen,Clear Indication,Claire Rimkus and Brooke Husic offer us a lively Friday puzzle.,all,,2022-03-18T02:00:05+0000,News
2489,Crosswords & Games,By Caitlin Lovinger,Variety: Cryptic Crossword,Emily Cox and Henry Rathvon’s puzzle puts us on cloud nine.,all,,2022-03-18T02:02:02+0000,News
2490,U.S.,By Reid J. Epstein,Mark Meadows’s 2020 Vote Is Under Investigation in North Carolina,"Records show that Mr. Meadows cast an absentee ballot from the address of a remote mobile home, but reports have cast doubt on whether he lived there.",all,18,2022-03-18T02:03:41+0000,News
2491,World,By Damien Cave,"Kids, Covid Isolation and Learning to Endure","The virus found us, and we’re doing just fine. I think.",all,,2022-03-18T02:12:10+0000,News
2492,Sports,By Jonathan Abrams,Brittney Griner Said to Be ‘OK’ as Russian Court Extends Her Detention,"Griner, the W.N.B.A. star, has been detained on drug charges in Russia since mid-February and is now expected to remain in custody until at least May.",all,,2022-03-18T02:46:21+0000,News
2493,Style,By Alix Wall,Returning From the Peace Corps to Find Love Close to Home,"Following a two-year term in Zambia, Holly Van Groll returned to Texas and re-encountered Gregg Bennett, a friend from high school, on a dating app.",all,13,2022-03-18T04:00:07+0000,News
2494,Style,By Rosalie R. Radomsky,"In Clark Kent Mode, He Was Still Super Appealing","Kevin Rustagi was used to taking dates up in a plane or on a motorcycle. But to meet Katelyn Yeary, he arrived on crutches.",all,13,2022-03-18T04:00:07+0000,News
2495,Style,By Vincent M. Mallozzi,Even the Army Couldn’t Keep Them Apart,"Rabbi Michael Geoffrey Cohen had 10 months left on his military contract when he met Sharon Leona Poczter. But after a marathon first date, they never fully parted.",all,12,2022-03-18T04:00:08+0000,News
2496,Style,By Rosemary Howe Camozzi,On (Not) Wasting My Time With a Younger Man,"We had no future together, so why not fall completely in love?",all,6,2022-03-18T04:00:08+0000,News
2497,Sports,"By Billy Witz, Alanis Thames, Alan Blinder and Scott Miller",N.C.A.A. Men’s Tournament: Purdue Looks Sharp in Its Opening Game,"Yale’s attempts to slow down the Boilermakers’ offense proved futile. In other first-round games, Illinois and Miami won in thrillers and Duke got past Cal State Fullerton.",all,7,2022-03-18T04:01:14+0000,News
2498,Sports,By Matthew Futterman,"Running Stars Are Racing in New York City, and It’s Not the Marathon","The New York City Half Marathon is scheduled to be run on Sunday for the first time in three years, and a number of prominent names will be at the starting line.",all,,2022-03-18T04:01:14+0000,News
2499,Sports,"By Remy Tumin, Alan Blinder and Natalie Weiner",N.C.A.A. Women’s Tournament: South Carolina Is Still Quite Dominant,"The top-seeded Gamecocks led 44-4 at halftime and finished just as strongly. Florida Gulf Coast, a big upset pick, beat Virginia Tech.",all,8,2022-03-18T04:01:14+0000,News
2500,New York,By James Barron,These Dogs Are Also Firefighters’ Friends,"The department is trying out four-legged robots to use in dangerous places. “These robots will save lives,” a fire captain said.",all,,2022-03-18T04:51:39+0000,briefing
2501,Briefing,By Natasha Frost,Your Friday Briefing,Casualties in the war in Ukraine.,all,,2022-03-18T04:58:54+0000,briefing
2502,Corrections,,"Corrections: March 18, 2022","Corrections that appeared in print on Friday, March 18, 2022.",all,19,2022-03-18T05:07:06+0000,Correction
2503,Today’s Paper,,"Quotation of the Day: Robot Dogs Join New York Fire Department, Which Promises a Short Leash","Quotation of the Day for: Friday, March 18, 2022.",all,3,2022-03-18T05:14:04+0000,Quote
2504,Arts,By Trish Bendix,Late Night Gapes at Biden’s Calling Putin a ‘War Criminal’,"A Kremlin spokesman pointed the finger back at the U.S. for World War II bombings, and Trevor Noah joked, “Keep up with the times, yo!”",all,,2022-03-18T05:46:02+0000,News
2505,The Learning Network,By The Learning Network,Word of the Day: fecundity,This word has appeared in eight articles on NYTimes.com in the past year. Can you use it in a sentence?,all,,2022-03-18T06:00:03+0000,News
2506,Business Day,By Jack Ewing and Stephen Gandel,How the War in Ukraine Could Slow the Sales of Electric Cars,"The price of nickel, an essential ingredient in most batteries, has soared because of fear that Russian supplies could be cut off.",all,1,2022-03-18T07:00:11+0000,News
2507,Movies,By Jeannette Catsoulis,‘Windfall’ Review: Money Talks,A wealthy couple is detained by an incompetent thief in this airless Netflix drama.,all,12,2022-03-18T07:01:02+0000,Review
2508,The Learning Network,By Nicole Daniels,How Useful Is It to Be Multilingual?,Do you speak multiple languages? Are you learning a new one? How has that knowledge expanded your world?,all,,2022-03-18T09:00:04+0000,News
2509,Books,By Miguel Salazar,"New in Paperback: ‘The Copenhagen Trilogy,’ ‘Tom Stoppard: A Life’ and More",Six new paperbacks to check out this week.,all,20,2022-03-18T09:00:04+0000,List
2510,The Learning Network,,Listening and Clapping,What do you know or think you know about this image and where it is from?,all,,2022-03-18T09:00:07+0000,News
2511,The Learning Network,By Erica Ackerberg and Natalie Proulx,"Lesson of the Day: ‘Why Do We Change the Clocks, Anyway?’","The Senate recently passed legislation that would make daylight saving time permanent. In this lesson, students will look at the history of this ritual and decide if they support the bill.",all,,2022-03-18T09:00:14+0000,News
2512,Opinion,By ‘The Ezra Klein Show',A Realist Take on How the Russia-Ukraine War Could End,"In a conversation that carries a glimmer of hope, the foreign policy scholar Emma Ashford considers possible paths to de-escalation.",all,,2022-03-18T09:00:16+0000,Op-Ed
2513,Books,By Jennifer Szalai,The Many Uses (and Abuses) of Shame,"Cathy O’Neil’s “The Shame Machine” is the most recent book to address an emotion that can be exhilarating or terrifying, depending on where you sit.",all,1,2022-03-18T09:00:16+0000,News
2514,Real Estate,By Jon Chase and Rachel Cericola,"How to Make Your Second Home Smarter, Safer and More Sustainable","From security systems to thermostats to window treatments, modern technology can take the anxiety out of maintaining a home from afar.",all,14,2022-03-18T09:00:18+0000,News
2515,Arts,By Laura Zornosa,A Human-Size Spider Web Is Getting a Boost From TikTok,The “Tomás Saraceno: Particular Matter(s)” exhibition at the Shed — particularly the “Free the Air” installation — is drawing social media attention.,all,2,2022-03-18T09:00:18+0000,News
2516,Style,By Hilary Sheinbaum,She Sells Cookie Dough That’s Better for You,"Sabeena Ladha is the founder of Deux, a raw cookie dough that is vegan and gluten-free.",all,9,2022-03-18T09:00:18+0000,News
2517,Sports,By Juliet Macur,"Knocked Down by Covid in Beijing, Vincent Zhou Is Getting Back Up",Zhou missed the men’s individual event at the Olympics because of the coronavirus. He is trying to shake off the memory in hopes of excelling at the figure skating world championships.,all,11,2022-03-18T09:00:19+0000,News
2518,Style,By Shane O'Neill,Will Smith Calls Bradley Cooper ‘Beautiful’ at Film Gala,“Licorice Pizza” was the big winner at the annual National Board of Review film awards.,all,11,2022-03-18T09:00:19+0000,News
2519,Opinion,By Siddharth Sridhar,Why Omicron Is So Deadly in Hong Kong,Low vaccination rates among the elderly have created a perfect storm.,all,18,2022-03-18T09:00:19+0000,Op-Ed
2520,U.S.,By Sophie Kasakove,Cities Move to Sever ‘Sister City’ Ties With Russian Governments,Some city officials say ending ties sends a message condemning the invasion of Ukraine. Others say the best way to have an effect is to use the ties that already exist.,all,10,2022-03-18T09:00:22+0000,News
2521,U.S.,By Annie Karni,"Once Motorcade Pals, Congressman and Photographer Are Now Public Foes","Pete Souza, the former White House photographer-turned-Trump troll, now uses his popular Twitter feed almost exclusively to ridicule Representative Ronny Jackson, the former White House doctor-turned-Trump acolyte.",all,14,2022-03-18T09:00:23+0000,News
2522,Climate,By Catrin Einhorn and Lisa Friedman,"Nations Should Conserve Fuel as Global Energy Crisis Looms, Agency Warns","The International Energy Agency said countries should encourage use of mass transit and car pooling, among other things. That could also help the climate crisis.",all,1,2022-03-18T09:00:27+0000,News
2523,Arts,By Alexis Soloski,The Secret Is Out on This ‘Bridgerton’ Star,"A few years ago, Nicola Coughlan was working in an optician’s office in Ireland. Now, with “Bridgerton” and “Derry Girls,” she’s starring in two of the most beloved shows on Netflix.",all,14,2022-03-18T09:00:28+0000,News
2524,Opinion,By Tom Z. Collina,Why America Should Not Deepen Its Military Involvement in Ukraine,Any direct conflict between the United States and Russia could make this humanitarian crisis much worse.,all,18,2022-03-18T09:00:31+0000,Op-Ed
2525,New York,By Ginia Bellafante,6 Things We’ll Keep From Pandemic Life,"Masks when we’re sick, bikes for everyone, and new respect for workers.",all,3,2022-03-18T09:00:34+0000,News
2526,Travel,By Dave Seminara,Hidden Tampa: The Best of an Often-Overlooked Florida City,"From a Buddhist temple reached by boat to a storied hotel and a speakeasy bar: a cheat sheet on what to do in this Gulf Coast city, which has found new fans during the pandemic.",all,,2022-03-18T09:00:34+0000,News
2527,Arts,By Brian Ng,"Exploring the Diversity, and Precariousness, of French Stand-Up","Fanny Herrero, the creator of “Call My Agent!,” returns with a Netflix show called “Standing Up,” which follows four struggling Parisian comics.",all,16,2022-03-18T09:00:34+0000,News
2528,Sports,By Marisa Ingemi,"For I.U.P.U.I., a Second Chance at a First Impression","The university’s women’s basketball program earned its first N.C.A.A. tournament bid in 2020, but the pandemic intruded. Back in the bracket, the Jaguars are anticipating their matchup with Oklahoma.",all,11,2022-03-18T09:00:35+0000,News
2529,World,By Carlotta Gall,"For a Ukrainian Poet, Putin’s War Is All Too Familiar","Ihor Kalynets, 83, spent a lifetime resisting Soviet domination. Now, he says, he’s not going anywhere.",all,9,2022-03-18T09:00:36+0000,News
2530,Business Day,By Li Yuan,China’s Information Dark Age Could Be Russia’s Future,"Russia and China have the tendency to learn the worst from each other: tyrants, famines, purges and, now, internet censorship.",all,1,2022-03-18T09:00:36+0000,News
2531,Style,By Betty Hallock,Can Scent Be Democratized?,The Institute for Art and Olfaction celebrates a decade of exploring our sense of smell.,all,4,2022-03-18T09:00:37+0000,News
2532,Arts,By Jori Finkel,"In Her Last Works, Kaari Upson Explores Vanity and Decay","The artist, who probed the depths of psychic trauma, left behind elusive new portraits that will debut at the Venice Biennale.",all,16,2022-03-18T09:00:39+0000,News
2533,Business Day,By Emily Flitter,"Where State Farm Sees ‘a Lot of Fraud,’ Black Customers See Discrimination","The giant insurer is facing lawsuits from customers, agents and former employees accusing it of racial discrimination.",all,1,2022-03-18T09:00:40+0000,News
2534,Style,By Alexis Soloski,Marin Hinkle of ‘The Marvelous Mrs. Maisel’ Melts Chocolate,"The television actress, who is filming the show’s fifth and final season, learned to make truffles.",all,2,2022-03-18T09:00:41+0000,News
2535,World,By Jason Horowitz,Pope Deplores the War in Ukraine but Not the Aggressor,Francis has raised his voice against “unacceptable armed aggression” without mentioning President Vladimir V. Putin or Russia. Some analysts say that he risks complicating his legacy.,all,1,2022-03-18T09:00:41+0000,News
2536,New York,By Tammy La Gorce,"How Oni and Uché Blackstock, Doctors, Spend Their Sundays","The twin sisters, who have been go-to experts during the pandemic, are outspoken on racial inequities in health care.",all,2,2022-03-18T09:00:41+0000,News
2537,Real Estate,By Candace Jackson,When Your Second Home Is the First One You Buy,"Some hopeful homeowners are keeping their rentals in pricey, urban areas, but are buying second homes in more affordable, rural and suburban locations.",all,12,2022-03-18T09:00:42+0000,News
2538,Health,By Gina Kolata,Shrugs Over Flu Signal Future Attitudes About Covid,"The coronavirus pandemic hasn’t prompted most Americans to take influenza more seriously. Instead, more people are likely to think of Covid the way they think of flu, experts say.",all,3,2022-03-18T09:02:58+0000,News
2539,Opinion,By Michelle Goldberg,Dispatch From Hungary: The Man Trying to Return His Country to the Free World,The strongman’s ties to Putin might finally hurt him.,all,19,2022-03-18T09:52:41+0000,Op-Ed
2540,Podcasts,"By Michael Barbaro, Michael Simon Johnson, Eric Krupke, Kaitlin Roberts, Patricia Willens, Marc Georges, Paige Cowett, Chris Wood and Marion Lozano",The Global Race to Mine the Metal of the Future,"The quest for cobalt, which is essential for electric-car batteries, has fueled a cycle of exploitation, greed and gamesmanship.",all,,2022-03-18T10:00:06+0000,News
2541,Opinion,By The Editorial Board,America Has a Free Speech Problem,A new poll finds Americans very anxious about the state of free speech.,all,4,2022-03-18T10:00:07+0000,Editorial
2542,Briefing,By David Leonhardt,Covid and the ‘Very Liberal’,There’s a schism among Democrats. And the latest on Ukraine.,all,,2022-03-18T10:27:48+0000,briefing
2543,Science,By Derrick Bryson Taylor,"Pete Davidson No Longer Going to Space, Blue Origin Says","According to the company, the comedian is “no longer able to join” its coming mission. It was unclear whether another celebrity would take his seat.",all,3,2022-03-18T10:56:20+0000,News
2544,Sports,By Gary Phillips,The First Designated Hitter Is Ready for the Universal D.H.,Ron Blomberg was a curiosity when he took the pitcher’s spot in the batting order in 1973. Now it will be standard practice in both leagues. “They should have done this a long time ago.”,all,34,2022-03-18T11:00:06+0000,News
2545,T Magazine,"By Ligaya Mishan, Anthony Cotsifas and Victoria Petro-Conroy","In a Starving World, Is Eating Well Unethical?",A meditation on the true cost of dining when nearly one-third of the planet lacks regular access to food.,all,72,2022-03-18T11:00:11+0000,News
2546,World,By Mike Ives and Makiko Inoue,A ‘Killing Stone’ Broke in Japan. Is a Demon on the Loose?,The rock appears in a famous legend starring a nine-tailed fox spirit. The question now is whether the fracture was a good or bad omen.,all,12,2022-03-18T11:00:13+0000,News
2547,World,By Andrew Higgins,War in Ukraine Prompts a Political Makeover in Poland,"Jaroslaw Kaczynski, Poland’s de facto leader and longtime scourge of E.U. unity, is portraying himself as a standard-bearer of European solidarity in defense of Ukraine and democratic values.",all,4,2022-03-18T11:05:34+0000,News
2548,Science,By Kenneth Chang,NASA’s Giant Moon Rocket Reaches the Launchpad for the First Time,NASA rolled the giant Space Launch System rocket out of an assembly building to begin testing ahead of its journey later this year toward the moon.,all,8,2022-03-18T11:07:47+0000,News
2549,Science,By Gina Kolata,People shrug over flu. Will they soon be shrugging about Covid?,"In good years, flu kills Americans in the low tens of thousands and sickens many times more. Yet even in the time of Covid, flu, the other respiratory killer caused by a virus, is underestimated. Almost half of American adults don’t bother to get vaccinated against it. Despite the ongoing Covid experience, researchers and historians don’t expect Americans’ attitudes toward flu to change much.",all,,2022-03-18T11:26:15+0000,News
2550,Business Day,"By Andrew Ross Sorkin, Jason Karaian, Stephen Gandel, Michael J. de la Merced and Ephrat Livni",Is the Nickel Market Broken?,The chaos in trading of the metal could have broad implications.,all,,2022-03-18T11:48:12+0000,News
2551,T Magazine,By Ronan Mckenzie and Eric McNeal,Easygoing Clothes in Shades of Cream and Khaki,Cocooning knits and enveloping jackets in neutral hues perfect for spring.,all,62,2022-03-18T12:00:11+0000,News
2552,Business Day,By Stanley Reed,How one energy company C.E.O. is trying to keep the lights on in Ukraine.,"DTEK, a prominent Ukrainian power company, arranges for soldiers to escort its emergency repair crews to reach damaged transmission lines.",all,5,2022-03-18T12:50:05+0000,News
2553,Business Day,By Ann Carrns,Bringing Personal Finance to the Classroom for Generation Z,"Twenty-three states require high schoolers to take the subject, and more could join them in an effort to boost the next generation’s financial literacy.",all,6,2022-03-18T13:00:14+0000,News
2554,Arts,By Elisabeth Vincentelli,‘American Song Contest’ Puts a Stateside Spin on Eurovision,"Stars vs. hopefuls. State vs. state. Eurovision fans will recognize the format of NBC’s new original song competition. For everyone else, here’s a primer.",all,3,2022-03-18T13:00:15+0000,News
2555,U.S.,By Soumya Karlamangla,Love Letters to California,"The state might be drought-stricken, fire-ridden and wildly expensive, but our readers love it all the same.",all,,2022-03-18T13:05:13+0000,briefing
2556,U.S.,By Dana Goldstein,Opponents Call It the ‘Don’t Say Gay’ Bill. Here’s What It Says.,"The Florida bill limits what educators can say about gender and sexuality, and could affect mental health services for all students.",all,13,2022-03-18T13:12:39+0000,News
2557,World,By Max Fisher,Russia’s Brutality in Ukraine Has Roots in Earlier Conflicts,Its experience in a string of wars led to the conclusion that attacking civilian populations was not only acceptable but militarily sound.,all,5,2022-03-18T13:59:41+0000,News
2558,Sports,By Rory Smith,"At P.S.G., Kylian Mbappé Has to Go",Mbappé is a generational talent who deserves a bigger stage on a weekly basis than the one Paris St.-Germain can offer.,all,34,2022-03-18T14:00:07+0000,News
2559,Arts,By Javier C. Hernández,Russian Conductor Will Not Appear With New York Philharmonic,"Tugan Sokhiev, who resigned from two posts after facing pressure to condemn the invasion of Ukraine, will not perform with the orchestra because of the war.",all,5,2022-03-18T14:00:09+0000,News
2560,Arts,By David Allen,What Happened to One of Classical Music’s Most Popular Pieces?,César Franck’s only symphony was a pillar of the repertory for decades. But it’s now a rarity.,all,7,2022-03-18T14:00:10+0000,News
2561,Your Money,By Ron Lieber,Colleges Can Avoid Shutting the Door on Financial Aid Knowledge,We review Whitman College’s financial aid guarantee and Muhlenberg College’s refreshing explainer.,all,1,2022-03-18T14:00:18+0000,News
2562,Movies,By Jason Zinoman,‘Texas Chain Saw Massacre’ and the Lessons Few Horror Films Get Right,"Ti West is the rare genre director to understand the original and honor it with a movie, “X,” that also works on its own terms.",all,1,2022-03-18T14:00:18+0000,News
2563,Podcasts,,Transcript: Ezra Klein Interviews Emma Ashford,A conversation with foreign policy scholar Emma Ashford. ,all,,2022-03-18T14:05:40+0000,Op-Ed
2564,World,By Megan Specia and Josh Holder,"Russia’s military progress slows, but it makes gains in the south and east.",Britain’s defense intelligence service said that Russian forces had “made minimal progress this week.”,all,,2022-03-18T14:07:40+0000,News
2565,Books,By Grant Snider,Recommended Reading,“500 Books You’re a Fool for Not Having Read Already” and more.,all,,2022-03-18T14:51:17+0000,News
2566,Well,By Knvul Sheikh,Who Should Get a 4th Covid Shot?,Experts say that the most vulnerable would benefit from a second booster soonest.,all,7,2022-03-18T14:56:56+0000,News
2567,Food,By Sam Sifton,What to Cook This Weekend,Eric Kim’s recipe for milk bread will provide ham and mayonnaise sandwiches (and more) for days.,all,,2022-03-18T15:00:06+0000,Letter
2568,Movies,By Elisabeth Vincentelli,Five Science Fiction Movies to Stream Now,"This month’s picks include near-future psychological drama, Oscar-nominated robot antics and a bearded, mysterious Hugo Weaving.",all,,2022-03-18T15:00:07+0000,News
2569,Opinion,By Thomas Rid,Why You Haven’t Heard About the Secret Cyberwar in Ukraine,"The digital confrontation is playing out in the shadows, as inconspicuous as it is insidious.",all,3,2022-03-18T15:00:10+0000,Op-Ed
2570,Opinion,By Min Jin Lee,Asian Americans Have Always Lived With Fear,"In my decades growing up in New York, survival required constant vigilance. Sadly, very little has changed.",all,4,2022-03-18T15:00:10+0000,Op-Ed
2571,Opinion,,Transgender Youths Become a Political Issue in Texas,The transgender youth controversy in Texas; the “Don’t Say Gay” bill in Florida; U.S. policy and North Korea.,all,18,2022-03-18T15:29:45+0000,Letter
2572,Business Day,By Emma Goldberg and Lananh Nguyen,"As Offices Open and Mask Mandates Drop, Some Anxieties Set In","Using local guidelines, many companies are loosening Covid safety rules, leaving workers to navigate masking and social distancing on their own.",all,1,2022-03-18T15:31:27+0000,News
2573,World,By John Yoon,"Hong Kong surpasses 1 million coronavirus cases, health officials say, amid a huge surge in deaths.","Once viewed as a world leader in controlling the coronavirus crisis, Hong Kong now has a death rate far outstripping that of mainland China.",all,,2022-03-18T15:35:29+0000,News
2574,Climate,By Somini Sengupta,Climate change is making armed conflict worse. Here’s how.,"Warming is “unambiguously worsening” conditions that contribute to clashes and deepen the pain for civilians, a new study says.",all,,2022-03-18T15:38:39+0000,News
2575,Arts,By Sam Roberts,"Jack Willis, TV Producer and Empathetic Filmmaker, Dies at 87","A survivor of a crippling accident, his documentaries and news coverage for public television focused on poverty, race and other social issues.",all,13,2022-03-18T15:39:11+0000,Obituary (Obit)
2576,Arts,"By Jon Pareles, Giovanni Russonello and Lindsay Zoladz","Arcade Fire Ignites a Fresh Era, and 11 More New Songs","Hear tracks by Normani, Brad Mehldau, Valerie June and others.",all,,2022-03-18T15:45:02+0000,News
2577,Business Day,By Alex Traub,"Jeanette Wagner, Who Globalized the Estée Lauder Brand, Dies at 92","Meticulous in building relationships, she helped open new markets for the cosmetics company, notably in the Soviet Union, as head of its international operations.",all,21,2022-03-18T15:48:08+0000,Obituary (Obit)
2578,Arts,By Joshua Barone,Review: Gustavo Dudamel Wraps Up a Philharmonic Audition,"The superstar conductor, a possible successor to the New York Philharmonic’s podium, led a cycle of Robert Schumann’s symphonies and two premieres.",all,5,2022-03-18T15:48:37+0000,Review
2579,Business Day,By Alexandra Stevenson,Confusion and Chaos in Hong Kong as Leaders Fumble Virus Response,"Government officials have been unable to curb an outbreak that has surpassed one million infections, leading Beijing to step up its intervention in the semiautonomous territory.",all,12,2022-03-18T16:05:40+0000,News
2580,Business Day,By Eshe Nelson,"An economic decline is coming, Russia’s central bank chief says.","Inflation and “large-scale structural transformation” are ahead, as the bank held interest rates at 20 percent.",all,,2022-03-18T16:48:58+0000,News
2581,Health,By Ellen Barry,How Long Should It Take to Grieve? Psychiatry Has Come Up With an Answer.,"The latest edition of the DSM-5, sometimes known as “psychiatry’s bible,” includes a controversial new diagnosis: prolonged grief disorder.",all,1,2022-03-18T16:50:26+0000,News
2582,Style,By Miya Lee,Love Letter: Intersecting Orbits,When an age difference pulls a couple in different directions.,all,,2022-03-18T16:59:37+0000,News
2583,Food,By Emily Weinstein,"Pasta Alla Vodka, but Make It Beans",Ali Slagle takes the classic dish and gives it a 2022 update with chickpeas and kale.,all,,2022-03-18T17:00:04+0000,News
2584,Opinion,By Tanner Greer,Realism Must Guide Our Reaction to Russia’s Invasion,The Iraq war showed us how dangerous policy driven by moral imperatives can be.,all,,2022-03-18T17:21:33+0000,Op-Ed
2585,Briefing,,"The Morning: ‘Very liberal’ Americans are the most worried about Covid, polling shows.","In today’s edition of The Morning newsletter, David Leonhardt writes about the Covid schism among Democrats.",all,,2022-03-18T17:39:18+0000,News
2586,Books,,The Science Behind Mental Afflictions,"Sara Manning Peskin talks about “A Molecule Away From Madness,” and J. Kenji López-Alt discusses “The Wok.”",all,,2022-03-18T17:43:53+0000,News
2587,Business Day,By Jenny Gross,"With Zero Notice, U.K. Ferry Company Lays Off Hundreds of Workers Over Video",The abrupt terminations caused widespread service cancellations and drew immediate backlash from government officials and unions.,all,3,2022-03-18T18:11:41+0000,News
2588,World,By Steven Erlanger and Patrick Kingsley,"As diplomacy drags on, peace seems far off in Ukraine.",Western officials have little optimism that talks between Russia and Ukraine have reached a serious stage or have even confronted the most difficult issues.,all,,2022-03-18T18:25:23+0000,News
2589,Theater,By Naveen Kumar,"Review: In ‘What You Are Now,’ Memory Is a Dangerous Thing","In Sam Chanse’s affecting play, a daughter tries to understand her mother, who resists any reminder of her escape from the Khmer Rouge.",all,4,2022-03-18T18:31:25+0000,Review
2590,New York,By Michael Gold,"The Omicron subvariant BA.2 now accounts for ‘around 30 percent’ of New York City’s cases, officials say.","Overall cases have been ticking up, but remain far below the peak of the surge driven by BA.1 that started in December and retreated in January.",all,,2022-03-18T18:32:42+0000,News
2591,Arts,By Elisabetta Povoledo,Donatello Gets His Due,"An exhibit in Florence puts the 15th-century sculptor at the epicenter of the Renaissance, presenting a master whose innovations transformed art history.",all,5,2022-03-18T18:42:11+0000,News
2592,U.S.,By Nick Corasaniti,"Mail Ballot Rejections Surge in Texas, With Signs of a Race Gap",A new Republican voting law led to the sharp rise in rejected ballots in the state’s recent primary election. An analysis shows that Black areas of Houston disproportionately had votes thrown out.,all,15,2022-03-18T18:44:10+0000,News
2593,Opinion,By Peter Coy,"Cut the Gas Tax? No, No, No.",There are better ways to help people squeezed by inflation.,all,,2022-03-18T19:00:07+0000,Op-Ed
2594,Obituaries,By Joseph Berger,"Rabbi Chaim Kanievsky, Venerated Talmudic Scholar, Dies at 94","He initially insisted, “Canceling Torah study is more dangerous than the coronavirus.” But he had a change of heart, even before testing positive.",all,13,2022-03-18T19:01:44+0000,Obituary (Obit)
